run,dimensions,sample_n,sampler,dh
0,5,100,Latin Hypercube,2.0762002721616146
0,5,100,Random walk,3.825224287882847
0,5,100,Hilbert curve 0.1,2.205348378101201
0,5,100,Hilbert curve 0.3,2.0462869744682877
0,5,100,Hilbert curve 0.5,2.1162345664140556
0,5,316,Latin Hypercube,1.6347388677820975
0,5,316,Random walk,4.183341904119186
0,5,316,Hilbert curve 0.1,1.654737703617353
0,5,316,Hilbert curve 0.3,1.6025962333262949
0,5,316,Hilbert curve 0.5,1.6933855747888422
0,5,1000,Latin Hypercube,1.2697099538857213
0,5,1000,Random walk,3.760180080800085
0,5,1000,Hilbert curve 0.1,1.3026268155041534
0,5,1000,Hilbert curve 0.3,1.2591369175587592
0,5,1000,Hilbert curve 0.5,1.401594637642591
0,10,100,Latin Hypercube,5.054380353278546
0,10,100,Random walk,8.059695676528358
0,10,100,Hilbert curve 0.1,5.253961241286966
0,10,100,Hilbert curve 0.3,4.9830719238125
0,10,100,Hilbert curve 0.5,4.946144668008868
0,10,316,Latin Hypercube,4.41393586690042
0,10,316,Random walk,7.86169558370584
0,10,316,Hilbert curve 0.1,4.553275703064932
0,10,316,Hilbert curve 0.3,4.35337402494189
0,10,316,Hilbert curve 0.5,4.366716084957328
0,10,1000,Latin Hypercube,3.876993006349199
0,10,1000,Random walk,7.898995912329041
0,10,1000,Hilbert curve 0.1,3.96896422363967
0,10,1000,Hilbert curve 0.3,3.812368083179264
0,10,1000,Hilbert curve 0.5,3.8908274705389223
0,20,100,Latin Hypercube,9.928463207445159
0,20,100,Random walk,12.277252409528344
0,20,100,Hilbert curve 0.1,10.240375175507843
0,20,100,Hilbert curve 0.3,9.660434041014792
0,20,100,Hilbert curve 0.5,9.47651730857508
0,20,316,Latin Hypercube,9.248913723544193
0,20,316,Random walk,13.029558307047253
0,20,316,Hilbert curve 0.1,9.48351916466713
0,20,316,Hilbert curve 0.3,8.933637946733572
0,20,316,Hilbert curve 0.5,8.775983819166477
0,20,1000,Latin Hypercube,8.603727456932473
0,20,1000,Random walk,12.284535969904676
0,20,1000,Hilbert curve 0.1,8.761746360239602
0,20,1000,Hilbert curve 0.3,8.282081653316107
0,20,1000,Hilbert curve 0.5,8.201717390228682
1,5,100,Latin Hypercube,2.071997519542439
1,5,100,Random walk,4.115257331468563
1,5,100,Hilbert curve 0.1,2.161969462396467
1,5,100,Hilbert curve 0.3,2.0668779475677885
1,5,100,Hilbert curve 0.5,2.0577154463923795
1,5,316,Latin Hypercube,1.62086144744184
1,5,316,Random walk,4.337888231249449
1,5,316,Hilbert curve 0.1,1.6647744613681605
1,5,316,Hilbert curve 0.3,1.5999815895220577
1,5,316,Hilbert curve 0.5,1.6762840094957125
1,5,1000,Latin Hypercube,1.2631989595349626
1,5,1000,Random walk,3.663303579204056
1,5,1000,Hilbert curve 0.1,1.2995082579107067
1,5,1000,Hilbert curve 0.3,1.2849182906627317
1,5,1000,Hilbert curve 0.5,1.452694757322948
1,10,100,Latin Hypercube,5.11609330234571
1,10,100,Random walk,7.891886854157429
1,10,100,Hilbert curve 0.1,5.307364124136371
1,10,100,Hilbert curve 0.3,4.948774331431529
1,10,100,Hilbert curve 0.5,4.9611679146025525
1,10,316,Latin Hypercube,4.436368265981017
1,10,316,Random walk,7.856251277953853
1,10,316,Hilbert curve 0.1,4.556679471090378
1,10,316,Hilbert curve 0.3,4.335535047771141
1,10,316,Hilbert curve 0.5,4.365348476904591
1,10,1000,Latin Hypercube,3.8813278762761545
1,10,1000,Random walk,7.916636110117008
1,10,1000,Hilbert curve 0.1,3.9650696729740846
1,10,1000,Hilbert curve 0.3,3.792720746931532
1,10,1000,Hilbert curve 0.5,3.8934624324578415
1,20,100,Latin Hypercube,9.94628565700582
1,20,100,Random walk,12.769966412674755
1,20,100,Hilbert curve 0.1,10.253956875844315
1,20,100,Hilbert curve 0.3,9.630113807073283
1,20,100,Hilbert curve 0.5,9.433194660393529
1,20,316,Latin Hypercube,9.23427586536316
1,20,316,Random walk,12.973848680735545
1,20,316,Hilbert curve 0.1,9.45916502215173
1,20,316,Hilbert curve 0.3,8.951695750987342
1,20,316,Hilbert curve 0.5,8.777072203324451
1,20,1000,Latin Hypercube,8.591766758473387
1,20,1000,Random walk,12.16918886795801
1,20,1000,Hilbert curve 0.1,8.74615916808228
1,20,1000,Hilbert curve 0.3,8.283527582941604
1,20,1000,Hilbert curve 0.5,8.20825306563143
2,5,100,Latin Hypercube,2.075639118813778
