run,dimensions,sample_n,sampler,dh
0,5,100,Latin Hypercube,2.0590009744086504
0,5,100,Random walk,4.127655210566171
0,5,100,Hilbert curve 0.1,2.150714433327504
0,5,100,Hilbert curve 0.3,2.073764064051109
0,5,100,Hilbert curve 0.5,2.064631938854873
0,5,100,Hilbert curve 0.7,2.2176090539786215
0,5,316,Latin Hypercube,1.6320987468488966
0,5,316,Random walk,4.170138741591158
0,5,316,Hilbert curve 0.1,1.663588154089482
0,5,316,Hilbert curve 0.3,1.6031428712249696
0,5,316,Hilbert curve 0.5,1.7092774857469542
0,5,316,Hilbert curve 0.7,1.8639084950823128
0,5,1000,Latin Hypercube,1.2661166751558952
0,5,1000,Random walk,3.7711848664682375
0,5,1000,Hilbert curve 0.1,1.275921566782252
0,5,1000,Hilbert curve 0.3,1.269813414010386
0,5,1000,Hilbert curve 0.5,1.4268419553023128
0,5,1000,Hilbert curve 0.7,1.5110557591129168
0,10,100,Latin Hypercube,5.086766918076537
0,10,100,Random walk,7.572436712799711
0,10,100,Hilbert curve 0.1,5.275220311623203
0,10,100,Hilbert curve 0.3,4.939261204125893
0,10,100,Hilbert curve 0.5,4.921888499885683
0,10,100,Hilbert curve 0.7,4.948785675167371
0,10,316,Latin Hypercube,4.4322763662257785
0,10,316,Random walk,7.091906205357312
0,10,316,Hilbert curve 0.1,4.55645110228538
0,10,316,Hilbert curve 0.3,4.345519436343712
0,10,316,Hilbert curve 0.5,4.368066277265923
0,10,316,Hilbert curve 0.7,4.517165237977758
0,10,1000,Latin Hypercube,3.8810908400086124
0,10,1000,Random walk,7.281690332319218
0,10,1000,Hilbert curve 0.1,3.9783879847153862
0,10,1000,Hilbert curve 0.3,3.8013198235822143
0,10,1000,Hilbert curve 0.5,3.8989782936169206
0,10,1000,Hilbert curve 0.7,4.081366183368161
0,20,100,Latin Hypercube,9.939616880061218
0,20,100,Random walk,12.453480573571017
0,20,100,Hilbert curve 0.1,10.245217871753422
0,20,100,Hilbert curve 0.3,9.663416115514313
0,20,100,Hilbert curve 0.5,9.436180987861073
0,20,100,Hilbert curve 0.7,9.370799631715
0,20,316,Latin Hypercube,9.240934825743226
0,20,316,Random walk,12.593555950585335
0,20,316,Hilbert curve 0.1,9.471575246900771
0,20,316,Hilbert curve 0.3,8.91924045814476
0,20,316,Hilbert curve 0.5,8.75897029139659
0,20,316,Hilbert curve 0.7,8.745316036675355
0,20,1000,Latin Hypercube,8.592925435707393
0,20,1000,Random walk,12.454350364145762
0,20,1000,Hilbert curve 0.1,8.751168233289299
0,20,1000,Hilbert curve 0.3,8.286414761750565
0,20,1000,Hilbert curve 0.5,8.200164360437272
0,20,1000,Hilbert curve 0.7,8.269775345846321
0,30,100,Latin Hypercube,13.875726957337989
0,30,100,Random walk,16.3803605074736
0,30,100,Hilbert curve 0.1,14.6407613157918
0,30,100,Hilbert curve 0.3,13.514696026203746
0,30,100,Hilbert curve 0.5,13.046588435077481
0,30,100,Hilbert curve 0.7,12.855396359463489
0,30,316,Latin Hypercube,13.149019883089968
0,30,316,Random walk,16.259274015124948
0,30,316,Hilbert curve 0.1,13.801439900273001
0,30,316,Hilbert curve 0.3,12.750255447365232
0,30,316,Hilbert curve 0.5,12.330484881769555
0,30,316,Hilbert curve 0.7,12.213310264322097
0,30,1000,Latin Hypercube,12.48749663322377
0,30,1000,Random walk,16.211552145223212
0,30,1000,Hilbert curve 0.1,13.019842034018696
0,30,1000,Hilbert curve 0.3,12.0709061232629
0,30,1000,Hilbert curve 0.5,11.749492526711842
0,30,1000,Hilbert curve 0.7,11.685285823470249
1,5,100,Latin Hypercube,2.0377816783648828
1,5,100,Random walk,3.9755538692449037
1,5,100,Hilbert curve 0.1,2.199965608579298
1,5,100,Hilbert curve 0.3,2.1236226146547987
1,5,100,Hilbert curve 0.5,2.123372616908172
1,5,100,Hilbert curve 0.7,2.1726922050625346
1,5,316,Latin Hypercube,1.6147217260729894
1,5,316,Random walk,3.4412999941129434
1,5,316,Hilbert curve 0.1,1.6549815395380985
1,5,316,Hilbert curve 0.3,1.610353200081013
1,5,316,Hilbert curve 0.5,1.6793979251960007
1,5,316,Hilbert curve 0.7,1.8308118824838548
1,5,1000,Latin Hypercube,1.2684826455677798
1,5,1000,Random walk,3.672579867277923
1,5,1000,Hilbert curve 0.1,1.2870334571178499
1,5,1000,Hilbert curve 0.3,1.2691408718915616
1,5,1000,Hilbert curve 0.5,1.4028446286408232
1,5,1000,Hilbert curve 0.7,1.5343084640330649
1,10,100,Latin Hypercube,5.080300674080827
1,10,100,Random walk,7.821262250681745
1,10,100,Hilbert curve 0.1,5.179056338486535
1,10,100,Hilbert curve 0.3,4.976825429045396
1,10,100,Hilbert curve 0.5,4.9395177136880015
1,10,100,Hilbert curve 0.7,4.964106237727997
1,10,316,Latin Hypercube,4.414331340434868
1,10,316,Random walk,7.770448281648565
1,10,316,Hilbert curve 0.1,4.536541259820466
1,10,316,Hilbert curve 0.3,4.345878829090666
1,10,316,Hilbert curve 0.5,4.371055199286814
1,10,316,Hilbert curve 0.7,4.451552283605639
1,10,1000,Latin Hypercube,3.887146206942896
1,10,1000,Random walk,7.819525907411475
1,10,1000,Hilbert curve 0.1,3.973753851490993
1,10,1000,Hilbert curve 0.3,3.819440220103717
1,10,1000,Hilbert curve 0.5,3.8923950687950115
1,10,1000,Hilbert curve 0.7,4.0659861446094965
1,20,100,Latin Hypercube,9.97570815584843
1,20,100,Random walk,12.895432869800908
1,20,100,Hilbert curve 0.1,10.233352351370074
1,20,100,Hilbert curve 0.3,9.652332435817865
1,20,100,Hilbert curve 0.5,9.424384291624891
1,20,100,Hilbert curve 0.7,9.36336772936329
1,20,316,Latin Hypercube,9.218348704859183
1,20,316,Random walk,12.233319464675157
1,20,316,Hilbert curve 0.1,9.483260446169592
1,20,316,Hilbert curve 0.3,8.94238683525277
1,20,316,Hilbert curve 0.5,8.78949665226212
1,20,316,Hilbert curve 0.7,8.751333284981119
1,20,1000,Latin Hypercube,8.591142147075027
1,20,1000,Random walk,12.151347778867304
1,20,1000,Hilbert curve 0.1,8.76220097504841
1,20,1000,Hilbert curve 0.3,8.301757643182672
1,20,1000,Hilbert curve 0.5,8.20212050230959
1,20,1000,Hilbert curve 0.7,8.273341918005938
1,30,100,Latin Hypercube,13.85937043200514
1,30,100,Random walk,16.53207914315377
1,30,100,Hilbert curve 0.1,14.61598948986873
1,30,100,Hilbert curve 0.3,13.535244138801893
1,30,100,Hilbert curve 0.5,13.049790998746403
1,30,100,Hilbert curve 0.7,12.845832015905316
1,30,316,Latin Hypercube,13.142225413649198
1,30,316,Random walk,16.18827615150278
1,30,316,Hilbert curve 0.1,13.770088077897267
1,30,316,Hilbert curve 0.3,12.744658813238862
1,30,316,Hilbert curve 0.5,12.357630818755707
1,30,316,Hilbert curve 0.7,12.202700699108775
1,30,1000,Latin Hypercube,12.493884852083246
1,30,1000,Random walk,16.323039205474547
1,30,1000,Hilbert curve 0.1,13.028910137609484
1,30,1000,Hilbert curve 0.3,12.05223684213304
1,30,1000,Hilbert curve 0.5,11.736820030184287
1,30,1000,Hilbert curve 0.7,11.714060252145442
2,5,100,Latin Hypercube,2.140924030438193
2,5,100,Random walk,3.8823632270401163
2,5,100,Hilbert curve 0.1,2.166901752827657
2,5,100,Hilbert curve 0.3,2.0692831622773333
2,5,100,Hilbert curve 0.5,2.111230116981198
2,5,100,Hilbert curve 0.7,2.1650149998667785
2,5,316,Latin Hypercube,1.6242582002532948
2,5,316,Random walk,3.679110936011881
2,5,316,Hilbert curve 0.1,1.682328400934189
2,5,316,Hilbert curve 0.3,1.6106744138820202
2,5,316,Hilbert curve 0.5,1.7001284568780395
2,5,316,Hilbert curve 0.7,1.7580852346525941
2,5,1000,Latin Hypercube,1.2613082402374471
2,5,1000,Random walk,3.56773138339891
2,5,1000,Hilbert curve 0.1,1.2829848114516285
2,5,1000,Hilbert curve 0.3,1.267555804556309
2,5,1000,Hilbert curve 0.5,1.3984766307377952
2,5,1000,Hilbert curve 0.7,1.5715254649556192
2,10,100,Latin Hypercube,5.097477270760424
2,10,100,Random walk,7.41704743357453
2,10,100,Hilbert curve 0.1,5.268593972724165
2,10,100,Hilbert curve 0.3,4.964094882213204
2,10,100,Hilbert curve 0.5,4.916733039243627
2,10,100,Hilbert curve 0.7,4.960617542512515
2,10,316,Latin Hypercube,4.433330557270857
2,10,316,Random walk,7.639041427284726
2,10,316,Hilbert curve 0.1,4.560834658715535
2,10,316,Hilbert curve 0.3,4.320624380452984
2,10,316,Hilbert curve 0.5,4.363730831594982
2,10,316,Hilbert curve 0.7,4.447310665102022
2,10,1000,Latin Hypercube,3.8804888199946204
2,10,1000,Random walk,7.587184259024552
2,10,1000,Hilbert curve 0.1,3.953302943352688
2,10,1000,Hilbert curve 0.3,3.7994789695508806
2,10,1000,Hilbert curve 0.5,3.8910821119724597
2,10,1000,Hilbert curve 0.7,4.035659885958543
2,20,100,Latin Hypercube,9.897386103479139
2,20,100,Random walk,12.091045423306046
2,20,100,Hilbert curve 0.1,10.237647760145014
2,20,100,Hilbert curve 0.3,9.677293480138461
2,20,100,Hilbert curve 0.5,9.434947686314649
2,20,100,Hilbert curve 0.7,9.365573206918107
2,20,316,Latin Hypercube,9.231051973165812
2,20,316,Random walk,12.386818061967364
2,20,316,Hilbert curve 0.1,9.461901249952579
2,20,316,Hilbert curve 0.3,8.936893101788009
2,20,316,Hilbert curve 0.5,8.7699535562046
2,20,316,Hilbert curve 0.7,8.772910510748583
2,20,1000,Latin Hypercube,8.600063556285157
2,20,1000,Random walk,12.794354345108093
2,20,1000,Hilbert curve 0.1,8.754760749421017
2,20,1000,Hilbert curve 0.3,8.292637308813903
2,20,1000,Hilbert curve 0.5,8.20151229201591
2,20,1000,Hilbert curve 0.7,8.260523342694382
2,30,100,Latin Hypercube,13.848391616988948
2,30,100,Random walk,16.36573867124497
2,30,100,Hilbert curve 0.1,14.672181793356785
