m,c,r,p,feature,sampler 1,sampler 2
0.9478990923366167,8442.598030671012,0.9913912013229147,0.0,ic.eps_max,Latin Hypercube (hc),Latin Hypercube (nn)
15.209983176254916,-1452243.0778552685,0.7527761623870926,1.63618568993943e-132,ic.eps_max,Latin Hypercube (hc),Latin Hypercube (rnd)
15.147409202992439,-1335524.447725881,0.7167909767340096,1.5408614711829849e-114,ic.eps_max,Latin Hypercube (nn),Latin Hypercube (rnd)
0.9869199539267861,0.029729124005216878,0.999577376966017,0.0,ic.eps_ration,Latin Hypercube (hc),Latin Hypercube (nn)
1.0965681823233926,-0.46622320312002863,0.9925508615804418,0.0,ic.eps_ration,Latin Hypercube (hc),Latin Hypercube (rnd)
1.1076766599205585,-0.48990126549734914,0.989909851763536,0.0,ic.eps_ration,Latin Hypercube (nn),Latin Hypercube (rnd)
0.9966325031727014,0.026138571246069553,0.9999472883909751,0.0,ic.eps_s,Latin Hypercube (hc),Latin Hypercube (nn)
1.0335490737551545,-0.5153935397168281,0.9927115853803741,0.0,ic.eps_s,Latin Hypercube (hc),Latin Hypercube (rnd)
1.0360481036532483,-0.5387878044199197,0.9918131178445504,0.0,ic.eps_s,Latin Hypercube (nn),Latin Hypercube (rnd)
1.1512955398471423,-0.15519666071532812,0.9555846737926267,0.0,ic.h_max,Latin Hypercube (hc),Latin Hypercube (nn)
0.3949397861442192,0.5267102910629529,0.74389264325384,8.527797596003726e-128,ic.h_max,Latin Hypercube (hc),Latin Hypercube (rnd)
0.26064836678978187,0.6408671064638017,0.5914962990467685,3.7003729252210043e-69,ic.h_max,Latin Hypercube (nn),Latin Hypercube (rnd)
1.7535030714004127,-0.5194372366717273,0.9632254055691979,0.0,ic.m0,Latin Hypercube (hc),Latin Hypercube (nn)
-0.0009622126340212709,0.667277127574079,-0.008236708123271362,0.8253775793234224,ic.m0,Latin Hypercube (hc),Latin Hypercube (rnd)
-0.00111143718691579,0.6672633553765684,-0.017319930588281667,0.6426693694618367,ic.m0,Latin Hypercube (nn),Latin Hypercube (rnd)
