sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (hc),0,0.98125,0.9135416666666667,0.4239583333333333,0.915625,0.7697916666666667,0.865625
Latin Hypercube (hc),1,0.9875,0.915625,0.5052083333333334,0.928125,0.7583333333333333,0.8614583333333333
Latin Hypercube (hc),2,0.9854166666666667,0.9010416666666666,0.475,0.9010416666666666,0.7833333333333333,0.8375
Latin Hypercube (hc),3,0.990625,0.9145833333333333,0.425,0.871875,0.8052083333333333,0.86875
Latin Hypercube (hc),4,0.9854166666666667,0.8875,0.4583333333333333,0.8989583333333333,0.8177083333333334,0.85
Latin Hypercube (hc),5,0.9833333333333333,0.9020833333333333,0.4666666666666667,0.8697916666666666,0.7697916666666667,0.8729166666666667
Latin Hypercube (hc),6,0.9864583333333333,0.8927083333333333,0.45208333333333334,0.9260416666666667,0.821875,0.865625
Latin Hypercube (hc),7,0.984375,0.903125,0.4864583333333333,0.8739583333333333,0.8166666666666667,0.8604166666666667
Latin Hypercube (hc),8,0.9875,0.9020833333333333,0.4270833333333333,0.91875,0.7572916666666667,0.8927083333333333
Latin Hypercube (hc),9,0.9885416666666667,0.8958333333333334,0.44895833333333335,0.8854166666666666,0.771875,0.8666666666666667
Latin Hypercube (hc),10,0.9864583333333333,0.9010416666666666,0.475,0.8625,0.8,0.8552083333333333
Latin Hypercube (hc),11,0.9833333333333333,0.9104166666666667,0.48333333333333334,0.903125,0.8177083333333334,0.8739583333333333
Latin Hypercube (hc),12,0.9885416666666667,0.903125,0.4666666666666667,0.9041666666666667,0.7354166666666667,0.8541666666666666
Latin Hypercube (hc),13,0.9833333333333333,0.9052083333333333,0.43333333333333335,0.8739583333333333,0.8145833333333333,0.8864583333333333
Latin Hypercube (hc),14,0.9822916666666667,0.8854166666666666,0.46979166666666666,0.8927083333333333,0.7989583333333333,0.853125
Latin Hypercube (hc),15,0.978125,0.884375,0.48541666666666666,0.896875,0.7802083333333333,0.8583333333333333
Latin Hypercube (hc),16,0.9875,0.9135416666666667,0.428125,0.890625,0.8708333333333333,0.8708333333333333
Latin Hypercube (hc),17,0.9875,0.896875,0.4479166666666667,0.915625,0.825,0.8697916666666666
Latin Hypercube (hc),18,0.9875,0.8885416666666667,0.4270833333333333,0.9114583333333334,0.796875,0.85625
Latin Hypercube (hc),19,0.9822916666666667,0.903125,0.4635416666666667,0.8916666666666667,0.7822916666666667,0.8677083333333333
Latin Hypercube (hc),20,0.98125,0.896875,0.3958333333333333,0.928125,0.7708333333333334,0.8677083333333333
Latin Hypercube (hc),21,0.9760416666666667,0.90625,0.4708333333333333,0.9229166666666667,0.7895833333333333,0.86875
Latin Hypercube (hc),22,0.984375,0.8833333333333333,0.42604166666666665,0.9104166666666667,0.796875,0.8625
Latin Hypercube (hc),23,0.9885416666666667,0.9052083333333333,0.484375,0.9208333333333333,0.7947916666666667,0.8552083333333333
Latin Hypercube (hc),24,0.9802083333333333,0.9020833333333333,0.4552083333333333,0.9114583333333334,0.771875,0.859375
Latin Hypercube (hc),25,0.9895833333333334,0.9072916666666667,0.49375,0.9135416666666667,0.7625,0.86875
Latin Hypercube (hc),26,0.9864583333333333,0.8885416666666667,0.41770833333333335,0.9239583333333333,0.71875,0.86875
Latin Hypercube (hc),27,0.9802083333333333,0.9052083333333333,0.4666666666666667,0.8947916666666667,0.7822916666666667,0.8708333333333333
Latin Hypercube (hc),28,0.971875,0.8947916666666667,0.4583333333333333,0.9135416666666667,0.746875,0.8572916666666667
Latin Hypercube (hc),29,0.9895833333333334,0.8927083333333333,0.45625,0.8625,0.7822916666666667,0.871875
Latin Hypercube (hc),30,0.9802083333333333,0.9020833333333333,0.49166666666666664,0.9333333333333333,0.709375,0.8708333333333333
Latin Hypercube (hc),31,0.9854166666666667,0.9041666666666667,0.47604166666666664,0.8666666666666667,0.80625,0.8427083333333333
Latin Hypercube (hc),32,0.9927083333333333,0.9104166666666667,0.45729166666666665,0.865625,0.7864583333333334,0.871875
Latin Hypercube (hc),33,0.9854166666666667,0.9083333333333333,0.44479166666666664,0.9135416666666667,0.7583333333333333,0.875
Latin Hypercube (hc),34,0.9822916666666667,0.890625,0.45208333333333334,0.8989583333333333,0.8375,0.8625
