sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (hc),0,0.978125,0.9822916666666667,0.934375,0.978125,0.96875,0.9770833333333333
Latin Hypercube (hc),1,0.9875,0.9802083333333333,0.9395833333333333,0.9833333333333333,0.9739583333333334,0.9822916666666667
Latin Hypercube (hc),2,0.9875,0.9833333333333333,0.9395833333333333,0.9833333333333333,0.9697916666666667,0.98125
Latin Hypercube (hc),3,0.9885416666666667,0.9833333333333333,0.9458333333333333,0.9864583333333333,0.978125,0.98125
Latin Hypercube (hc),4,0.975,0.9791666666666666,0.9375,0.9770833333333333,0.9645833333333333,0.9791666666666666
Latin Hypercube (hc),5,0.9802083333333333,0.9833333333333333,0.9364583333333333,0.9770833333333333,0.9614583333333333,0.9739583333333334
Latin Hypercube (hc),6,0.978125,0.9760416666666667,0.95,0.975,0.971875,0.9822916666666667
Latin Hypercube (hc),7,0.9864583333333333,0.98125,0.9333333333333333,0.9854166666666667,0.96875,0.978125
Latin Hypercube (hc),8,0.9885416666666667,0.984375,0.94375,0.9885416666666667,0.9729166666666667,0.9791666666666666
Latin Hypercube (hc),9,0.9833333333333333,0.9822916666666667,0.9458333333333333,0.9833333333333333,0.9739583333333334,0.9822916666666667
Latin Hypercube (hc),10,0.9854166666666667,0.984375,0.9458333333333333,0.9854166666666667,0.96875,0.9770833333333333
Latin Hypercube (hc),11,0.9875,0.9854166666666667,0.934375,0.9802083333333333,0.9708333333333333,0.98125
Latin Hypercube (hc),12,0.9875,0.9833333333333333,0.9447916666666667,0.984375,0.9760416666666667,0.98125
Latin Hypercube (hc),13,0.9875,0.9802083333333333,0.9354166666666667,0.98125,0.9729166666666667,0.9885416666666667
Latin Hypercube (hc),14,0.9802083333333333,0.9864583333333333,0.9416666666666667,0.984375,0.96875,0.9802083333333333
Latin Hypercube (hc),15,0.9833333333333333,0.9833333333333333,0.946875,0.9833333333333333,0.971875,0.9822916666666667
Latin Hypercube (hc),16,0.9895833333333334,0.9833333333333333,0.9322916666666666,0.9854166666666667,0.96875,0.9802083333333333
Latin Hypercube (hc),17,0.9822916666666667,0.9739583333333334,0.940625,0.9822916666666667,0.975,0.978125
Latin Hypercube (hc),18,0.9822916666666667,0.98125,0.934375,0.9833333333333333,0.96875,0.978125
Latin Hypercube (hc),19,0.9875,0.984375,0.94375,0.9833333333333333,0.9760416666666667,0.9822916666666667
Latin Hypercube (hc),20,0.9833333333333333,0.98125,0.9416666666666667,0.9791666666666666,0.9697916666666667,0.984375
Latin Hypercube (hc),21,0.9864583333333333,0.9822916666666667,0.9291666666666667,0.978125,0.9760416666666667,0.98125
Latin Hypercube (hc),22,0.9895833333333334,0.9885416666666667,0.9572916666666667,0.9875,0.9791666666666666,0.9854166666666667
Latin Hypercube (hc),23,0.9875,0.9802083333333333,0.934375,0.98125,0.9697916666666667,0.984375
Latin Hypercube (hc),24,0.9854166666666667,0.9833333333333333,0.9302083333333333,0.98125,0.965625,0.9822916666666667
Latin Hypercube (hc),25,0.984375,0.98125,0.940625,0.9822916666666667,0.9739583333333334,0.9791666666666666
Latin Hypercube (hc),26,0.9864583333333333,0.984375,0.9364583333333333,0.9864583333333333,0.9791666666666666,0.9822916666666667
Latin Hypercube (hc),27,0.98125,0.9791666666666666,0.9385416666666667,0.9760416666666667,0.96875,0.978125
Latin Hypercube (hc),28,0.9791666666666666,0.9802083333333333,0.9364583333333333,0.9791666666666666,0.9645833333333333,0.9770833333333333
Latin Hypercube (hc),29,0.9885416666666667,0.9822916666666667,0.9333333333333333,0.984375,0.9760416666666667,0.98125
Latin Hypercube (hc),30,0.9854166666666667,0.9802083333333333,0.9416666666666667,0.9802083333333333,0.9729166666666667,0.9760416666666667
Latin Hypercube (hc),31,0.9822916666666667,0.9802083333333333,0.9364583333333333,0.9729166666666667,0.9645833333333333,0.9770833333333333
Latin Hypercube (hc),32,0.9885416666666667,0.9802083333333333,0.940625,0.9833333333333333,0.9729166666666667,0.9833333333333333
Latin Hypercube (hc),33,0.9770833333333333,0.9739583333333334,0.9427083333333334,0.975,0.9697916666666667,0.978125
Latin Hypercube (hc),34,0.9864583333333333,0.984375,0.9302083333333333,0.98125,0.9604166666666667,0.9885416666666667
Latin Hypercube (hc),35,0.9833333333333333,0.978125,0.93125,0.9833333333333333,0.9770833333333333,0.9875
Latin Hypercube (hc),36,0.9791666666666666,0.9802083333333333,0.93125,0.9729166666666667,0.965625,0.9729166666666667
Latin Hypercube (hc),37,0.9916666666666667,0.98125,0.9427083333333334,0.9864583333333333,0.9770833333333333,0.9833333333333333
