sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (hc),0,0.9861111111111112,0.8159722222222222,0.6840277777777778,0.7986111111111112,0.8576388888888888,0.9027777777777778
Latin Hypercube (hc),1,0.9791666666666666,0.8125,0.6423611111111112,0.8090277777777778,0.8680555555555556,0.9097222222222222
Latin Hypercube (hc),2,0.9895833333333334,0.8194444444444444,0.6631944444444444,0.8020833333333334,0.8611111111111112,0.9583333333333334
Latin Hypercube (hc),3,0.9791666666666666,0.7708333333333334,0.6840277777777778,0.8298611111111112,0.84375,0.9479166666666666
Latin Hypercube (hc),4,0.9965277777777778,0.8055555555555556,0.6701388888888888,0.8020833333333334,0.8090277777777778,0.9479166666666666
Latin Hypercube (hc),5,0.9930555555555556,0.8055555555555556,0.6666666666666666,0.7708333333333334,0.875,0.9270833333333334
Latin Hypercube (hc),6,0.9756944444444444,0.7708333333333334,0.6840277777777778,0.8263888888888888,0.7777777777777778,0.8993055555555556
Latin Hypercube (hc),7,0.9826388888888888,0.7777777777777778,0.65625,0.8472222222222222,0.8263888888888888,0.8958333333333334
Latin Hypercube (hc),8,0.9895833333333334,0.8506944444444444,0.6770833333333334,0.9340277777777778,0.8020833333333334,0.9305555555555556
Latin Hypercube (hc),9,0.9895833333333334,0.7916666666666666,0.6527777777777778,0.8194444444444444,0.8159722222222222,0.9131944444444444
Latin Hypercube (hc),10,0.9791666666666666,0.7881944444444444,0.6770833333333334,0.8333333333333334,0.8368055555555556,0.9097222222222222
Latin Hypercube (hc),11,0.9895833333333334,0.7638888888888888,0.6388888888888888,0.8715277777777778,0.8368055555555556,0.9409722222222222
Latin Hypercube (hc),12,0.9826388888888888,0.8576388888888888,0.6388888888888888,0.8645833333333334,0.8229166666666666,0.9444444444444444
Latin Hypercube (hc),13,0.9791666666666666,0.7708333333333334,0.6736111111111112,0.8090277777777778,0.8680555555555556,0.9270833333333334
Latin Hypercube (hc),14,0.9895833333333334,0.8125,0.7013888888888888,0.7222222222222222,0.8506944444444444,0.9305555555555556
Latin Hypercube (hc),15,0.9895833333333334,0.7847222222222222,0.6770833333333334,0.8472222222222222,0.8645833333333334,0.8923611111111112
