test_id,function,dimensions,sample_n,sampler,feature,value,n
1,1,5,100,Latin Hypercube (nn),t.generation,0.0004140999990340788,500
1,1,5,100,Latin Hypercube (nn),t.ic.calculate,0.3986038000002736,500
2,2,5,100,Latin Hypercube (nn),t.generation,0.00037710000106017105,500
2,2,5,100,Latin Hypercube (nn),t.ic.calculate,0.5397382000010111,500
3,3,5,100,Latin Hypercube (nn),t.generation,0.0003744000023289118,500
3,3,5,100,Latin Hypercube (nn),t.ic.calculate,0.4153662000026088,500
4,4,5,100,Latin Hypercube (nn),t.generation,0.00037929999962216243,500
4,4,5,100,Latin Hypercube (nn),t.ic.calculate,0.4288833999999042,500
5,5,5,100,Latin Hypercube (nn),t.generation,0.00038019999919924885,500
5,5,5,100,Latin Hypercube (nn),t.ic.calculate,0.40012189999833936,500
6,6,5,100,Latin Hypercube (nn),t.generation,0.0005151000004843809,500
6,6,5,100,Latin Hypercube (nn),t.ic.calculate,0.5030116999987513,500
7,7,5,100,Latin Hypercube (nn),t.generation,0.00037710000106017105,500
7,7,5,100,Latin Hypercube (nn),t.ic.calculate,0.43390960000033374,500
8,8,5,100,Latin Hypercube (nn),t.generation,0.00037489999886020087,500
8,8,5,100,Latin Hypercube (nn),t.ic.calculate,0.49087320000035106,500
9,9,5,100,Latin Hypercube (nn),t.generation,0.00047569999878760427,500
9,9,5,100,Latin Hypercube (nn),t.ic.calculate,0.4949698000018543,500
10,10,5,100,Latin Hypercube (nn),t.generation,0.0003766999980143737,500
10,10,5,100,Latin Hypercube (nn),t.ic.calculate,0.5554301999982272,500
11,11,5,100,Latin Hypercube (nn),t.generation,0.0003761000007216353,500
11,11,5,100,Latin Hypercube (nn),t.ic.calculate,0.5351793000008911,500
12,12,5,100,Latin Hypercube (nn),t.generation,0.0003488000002107583,500
12,12,5,100,Latin Hypercube (nn),t.ic.calculate,0.5758965999993961,500
13,13,5,100,Latin Hypercube (nn),t.generation,0.00036840000029769726,500
13,13,5,100,Latin Hypercube (nn),t.ic.calculate,0.4296036000014283,500
14,14,5,100,Latin Hypercube (nn),t.generation,0.00034609999784152023,500
14,14,5,100,Latin Hypercube (nn),t.ic.calculate,0.4061475000016799,500
15,15,5,100,Latin Hypercube (nn),t.generation,0.00037630000224453397,500
15,15,5,100,Latin Hypercube (nn),t.ic.calculate,0.4204417000000831,500
16,16,5,100,Latin Hypercube (nn),t.generation,0.0003768999995372724,500
16,16,5,100,Latin Hypercube (nn),t.ic.calculate,0.4252610999974422,500
17,17,5,100,Latin Hypercube (nn),t.generation,0.00035289999868837185,500
17,17,5,100,Latin Hypercube (nn),t.ic.calculate,0.4021568999996816,500
18,18,5,100,Latin Hypercube (nn),t.generation,0.00034749999758787453,500
18,18,5,100,Latin Hypercube (nn),t.ic.calculate,0.41465030000108527,500
19,19,5,100,Latin Hypercube (nn),t.generation,0.0003705000017362181,500
19,19,5,100,Latin Hypercube (nn),t.ic.calculate,0.39458709999962593,500
20,20,5,100,Latin Hypercube (nn),t.generation,0.0003660000002128072,500
20,20,5,100,Latin Hypercube (nn),t.ic.calculate,0.4795126999997592,500
21,21,5,100,Latin Hypercube (nn),t.generation,0.00044329999946057796,500
21,21,5,100,Latin Hypercube (nn),t.ic.calculate,0.4013477000007697,500
22,22,5,100,Latin Hypercube (nn),t.generation,0.00037370000063674524,500
22,22,5,100,Latin Hypercube (nn),t.ic.calculate,0.3889390000003914,500
23,23,5,100,Latin Hypercube (nn),t.generation,0.0003727000002982095,500
23,23,5,100,Latin Hypercube (nn),t.ic.calculate,0.41368040000088513,500
24,24,5,100,Latin Hypercube (nn),t.generation,0.0003756000005523674,500
24,24,5,100,Latin Hypercube (nn),t.ic.calculate,0.40859199999977136,500
25,1,5,100,Latin Hypercube (hc),t.generation,0.00033970000004046597,500
25,1,5,100,Latin Hypercube (hc),t.ic.calculate,0.4102671000000555,500
26,2,5,100,Latin Hypercube (hc),t.generation,0.0003859999997075647,500
26,2,5,100,Latin Hypercube (hc),t.ic.calculate,0.566766899999493,500
27,3,5,100,Latin Hypercube (hc),t.generation,0.0003758999991987366,500
27,3,5,100,Latin Hypercube (hc),t.ic.calculate,0.41172220000225934,500
28,4,5,100,Latin Hypercube (hc),t.generation,0.00038859999767737463,500
28,4,5,100,Latin Hypercube (hc),t.ic.calculate,0.43736600000192993,500
29,5,5,100,Latin Hypercube (hc),t.generation,0.0003766000008909032,500
29,5,5,100,Latin Hypercube (hc),t.ic.calculate,0.3946947000004002,500
30,6,5,100,Latin Hypercube (hc),t.generation,0.0003606999998737592,500
30,6,5,100,Latin Hypercube (hc),t.ic.calculate,0.5013903999970353,500
31,7,5,100,Latin Hypercube (hc),t.generation,0.0003761000007216353,500
31,7,5,100,Latin Hypercube (hc),t.ic.calculate,0.42568350000146893,500
32,8,5,100,Latin Hypercube (hc),t.generation,0.0003819999983534217,500
32,8,5,100,Latin Hypercube (hc),t.ic.calculate,0.4837076000003435,500
33,9,5,100,Latin Hypercube (hc),t.generation,0.0003614999986893963,500
33,9,5,100,Latin Hypercube (hc),t.ic.calculate,0.4916827999986708,500
34,10,5,100,Latin Hypercube (hc),t.generation,0.00038249999852268957,500
34,10,5,100,Latin Hypercube (hc),t.ic.calculate,0.5454718000000867,500
35,11,5,100,Latin Hypercube (hc),t.generation,0.0003651000006357208,500
35,11,5,100,Latin Hypercube (hc),t.ic.calculate,0.5354948000021977,500
36,12,5,100,Latin Hypercube (hc),t.generation,0.00035429999843472615,500
36,12,5,100,Latin Hypercube (hc),t.ic.calculate,0.5767498999994132,500
37,13,5,100,Latin Hypercube (hc),t.generation,0.00038109999877633527,500
37,13,5,100,Latin Hypercube (hc),t.ic.calculate,0.42645510000147624,500
