test_id,repetition,function,sample_n,sampler,feature,value
577,4,1,100,"Latin Hypercube (nn)",sss.mean,0.0482808595532205
577,4,1,100,"Latin Hypercube (nn)",sss.std,0.0653620586911513
577,4,1,100,"Latin Hypercube (nn)",sss.max,0.789951100531023
577,4,1,100,"Latin Hypercube (nn)",sss.skew,15.1082853410125
577,4,1,100,"Latin Hypercube (nn)",sss.skew_p,1.42807607835003e-51
577,4,1,100,"Latin Hypercube (nn)",sss.weight.0,0.994974874371859
577,4,1,100,"Latin Hypercube (nn)",sss.weight.1,0.00502512562814072
577,4,1,100,"Latin Hypercube (nn)",sss.mean.0,0.0445350502553528
577,4,1,100,"Latin Hypercube (nn)",sss.mean.1,0.789951100531021
577,4,1,100,"Latin Hypercube (nn)",sss.cov.0,0.00150258910563677
577,4,1,100,"Latin Hypercube (nn)",sss.cov.1,1.0e-06
578,4,2,100,"Latin Hypercube (nn)",sss.mean,0.0466553936951433
578,4,2,100,"Latin Hypercube (nn)",sss.std,0.0584294780813927
578,4,2,100,"Latin Hypercube (nn)",sss.max,0.490115030473877
578,4,2,100,"Latin Hypercube (nn)",sss.skew,12.7618380817877
578,4,2,100,"Latin Hypercube (nn)",sss.skew_p,2.6780625376851e-37
578,4,2,100,"Latin Hypercube (nn)",sss.weight.0,0.901842397217475
578,4,2,100,"Latin Hypercube (nn)",sss.weight.1,0.098157602782525
578,4,2,100,"Latin Hypercube (nn)",sss.mean.0,0.0336542385400024
578,4,2,100,"Latin Hypercube (nn)",sss.mean.1,0.16610607911669
578,4,2,100,"Latin Hypercube (nn)",sss.cov.0,0.00033649059388352
578,4,2,100,"Latin Hypercube (nn)",sss.cov.1,0.0158779909686111
579,4,3,100,"Latin Hypercube (nn)",sss.mean,0.0496534966507873
579,4,3,100,"Latin Hypercube (nn)",sss.std,0.0651905294872496
579,4,3,100,"Latin Hypercube (nn)",sss.max,0.678731241049495
579,4,3,100,"Latin Hypercube (nn)",sss.skew,14.190421365951
579,4,3,100,"Latin Hypercube (nn)",sss.skew_p,1.05025767498267e-45
